codigo,score,tipo
XPLG11,4.6,fundo de tijolo
HGLG11,4.6,fundo de tijolo
CXCO11,4.6,fundo de tijolo
XPML11,4.5,fundo de tijolo
VISC11,4.5,fundo de tijolo
VILG11,4.5,fundo de tijolo
PVBI11,4.5,fundo de tijolo
KNRI11,4.5,fundo de tijolo
HGRU11,4.5,fundo de tijolo
HGBS11,4.5,fundo de tijolo
GGRC11,4.5,fundo de tijolo
GALG11,4.5,fundo de tijolo
CXAG11,4.5,fundo de tijolo
BTRA11,4.5,fundo de tijolo
VIUR11,4.4,fundo de tijolo
VINO11,4.4,fundo de tijolo
RZTR11,4.4,fundo de tijolo
HGRE11,4.4,fundo de tijolo
BTAL11,4.4,fundo de tijolo
RECT11,4.3,fundo de tijolo
RBRP11,4.3,fundo de tijolo
HSML11,4.3,fundo de tijolo
BTLG11,4.3,fundo de tijolo
ALZR11,4.3,fundo de tijolo
MALL11,4.2,fundo de tijolo
FIIB11,4.2,fundo de tijolo
BBPO11,4.2,fundo de tijolo
XPIN11,4.1,fundo de tijolo
TRXF11,4.1,fundo de tijolo
BRCO11,4.1,fundo de tijolo
TEPP11,4.0,fundo de tijolo
SEQR11,4.0,fundo de tijolo
SDIL11,4.0,fundo de tijolo
RBVA11,4.0,fundo de tijolo
PATL11,4.0,fundo de tijolo
FLMA11,4.0,fundo de tijolo
BRCR11,4.0,fundo de tijolo
AIEC11,4.0,fundo de tijolo
LVBI11,3.9,fundo de tijolo
HGPO11,3.9,fundo de tijolo
GTWR11,3.9,fundo de tijolo
ARCT11,3.9,fundo de tijolo
ABCP11,3.9,fundo de tijolo
SPTW11,3.8,fundo de tijolo
RCRB11,3.8,fundo de tijolo
PATC11,3.8,fundo de tijolo
JSRE11,3.8,fundo de tijolo
HSLG11,3.8,fundo de tijolo
BPML11,3.8,fundo de tijolo
XPPR11,3.7,fundo de tijolo
VTLT11,3.7,fundo de tijolo
SAAG11,3.7,fundo de tijolo
RNGO11,3.7,fundo de tijolo
RBED11,3.7,fundo de tijolo
MAXR11,3.7,fundo de tijolo
HTMX11,3.7,fundo de tijolo
FFCI11,3.7,fundo de tijolo
BMLC11,3.7,fundo de tijolo
VLOL11,3.6,fundo de tijolo
RBGS11,3.6,fundo de tijolo
LUGG11,3.6,fundo de tijolo
JFLL11,3.6,fundo de tijolo
FIGS11,3.6,fundo de tijolo
SPVJ11,3.5,fundo de tijolo
RBRL11,3.5,fundo de tijolo
RBRD11,3.5,fundo de tijolo
RBCO11,3.5,fundo de tijolo
NEWL11,3.5,fundo de tijolo
HLOG11,3.5,fundo de tijolo
FIIP11B,3.5,fundo de tijolo
FCFL11,3.5,fundo de tijolo
EURO11,3.5,fundo de tijolo
CEOC11,3.5,fundo de tijolo
CBOP11,3.5,fundo de tijolo
BBRC11,3.5,fundo de tijolo
NSLU11,3.4,fundo de tijolo
LGCP11,3.4,fundo de tijolo
JRDM11,3.4,fundo de tijolo
BNFS11,3.4,fundo de tijolo
BLMG11,3.4,fundo de tijolo
XPCM11,3.3,fundo de tijolo
WPLZ11,3.3,fundo de tijolo
SHPH11,3.3,fundo de tijolo
SCPF11,3.3,fundo de tijolo
OULG11,3.3,fundo de tijolo
FVPQ11,3.3,fundo de tijolo
CXCE11B,3.3,fundo de tijolo
BBFI11B,3.3,fundo de tijolo
QAGR11,3.2,fundo de tijolo
PQDP11,3.2,fundo de tijolo
TRXL11,3.1,fundo de tijolo
THRA11,3.1,fundo de tijolo
ONEF11,3.1,fundo de tijolo
NVHO11,3.0,fundo de tijolo
MGLG11,3.0,fundo de tijolo
GRLV11,3.0,fundo de tijolo
FVBI11,3.0,fundo de tijolo
FPAB11,3.0,fundo de tijolo
FMOF11,3.0,fundo de tijolo
FAMB11B,3.0,fundo de tijolo
DRIT11B,3.0,fundo de tijolo
BLCP11,3.0,fundo de tijolo
YCHY11,2.9,fundo de tijolo
VVPR11,2.9,fundo de tijolo
FAED11,2.9,fundo de tijolo
EDGA11,2.8,fundo de tijolo
XPHT11,2.7,fundo de tijolo
TBOF11,2.7,fundo de tijolo
MBRF11,2.7,fundo de tijolo
FLRP11,2.7,fundo de tijolo
CTXT11,2.7,fundo de tijolo
VSHO11,2.6,fundo de tijolo
SARE11,2.6,fundo de tijolo
NEWU11,2.6,fundo de tijolo
HCRI11,2.5,fundo de tijolo
GSFI11,2.5,fundo de tijolo
SDIP11,2.3,fundo de tijolo
HPDP11,2.3,fundo de tijolo
EDFO11B,2.3,fundo de tijolo
DOMC11,2.3,fundo de tijolo
BBVJ11,2.3,fundo de tijolo
ATSA11,2.2,fundo de tijolo
ALMI11,2.2,fundo de tijolo
BMLC11B,2.1,fundo de tijolo
BTWR11,2.0,fundo de tijolo
XTED11,1.9,fundo de tijolo
RDES11,1.9,fundo de tijolo
CNES11,1.3,fundo de tijolo
CXTL11,1.2,fundo de tijolo
TRNT11,1.0,fundo de tijolo
PRSV11,1.0,fundo de tijolo
HOSI11,1.0,fundo de tijolo
HMOC11,1.0,fundo de tijolo
YUFI11B,0,fundo de tijolo
WTSP11B,0,fundo de tijolo
TCIN11,0,fundo de tijolo
STRX11,0,fundo de tijolo
SJAU11,0,fundo de tijolo
SHOP11,0,fundo de tijolo
RMAI11,0,fundo de tijolo
RELG11,0,fundo de tijolo
RBRS11,0,fundo de tijolo
RBLG11,0,fundo de tijolo
PRTS11,0,fundo de tijolo
PQAG11,0,fundo de tijolo
PLOG11,0,fundo de tijolo
MINT11,0,fundo de tijolo
MGHT11,0,fundo de tijolo
LASC11,0,fundo de tijolo
HSRE11,0,fundo de tijolo
HBRH11,0,fundo de tijolo
HAAA11,0,fundo de tijolo
GESE11B,0,fundo de tijolo
FISC11,0,fundo de tijolo
FATN11,0,fundo de tijolo
EVBI11,0,fundo de tijolo
CORM11,0,fundo de tijolo
CJCT11,0,fundo de tijolo
BREV11,0,fundo de tijolo
BLMO11,0,fundo de tijolo
BLCA11,0,fundo de tijolo
VGHF11,4.7,fundo de papel
KNSC11,4.7,fundo de papel
URPR11,4.6,fundo de papel
RECR11,4.6,fundo de papel
IRDM11,4.6,fundo de papel
CPTS11,4.5,fundo de papel
AFHI11,4.5,fundo de papel
MXRF11,4.4,fundo de papel
HCTR11,4.4,fundo de papel
DEVA11,4.4,fundo de papel
VSLH11,4.3,fundo de papel
VRTA11,4.3,fundo de papel
VCJR11,4.3,fundo de papel
KNIP11,4.3,fundo de papel
HREC11,4.3,fundo de papel
HGCR11,4.3,fundo de papel
VGIR11,4.2,fundo de papel
UBSR11,4.2,fundo de papel
RZAK11,4.2,fundo de papel
RRCI11,4.2,fundo de papel
RBHG11,4.2,fundo de papel
GCRI11,4.2,fundo de papel
CACR11,4.2,fundo de papel
BCRI11,4.2,fundo de papel
SNCI11,4.1,fundo de papel
RBRR11,4.1,fundo de papel
RBIV11,4.1,fundo de papel
KNHY11,4.1,fundo de papel
KNCR11,4.1,fundo de papel
CVBI11,4.1,fundo de papel
XPCI11,4.0,fundo de papel
PORD11,4.0,fundo de papel
MCHY11,4.0,fundo de papel
HABT11,4.0,fundo de papel
VGIP11,3.9,fundo de papel
OUJP11,3.9,fundo de papel
HBTT11,3.9,fundo de papel
FEXC11,3.9,fundo de papel
TORD11,3.8,fundo de papel
MCCI11,3.8,fundo de papel
FLCR11,3.8,fundo de papel
GAME11,3.7,fundo de papel
BARI11,3.7,fundo de papel
AFCR11,3.7,fundo de papel
RBHY11,3.6,fundo de papel
