codigo,setor,preco,liquidez,dividend_yield,dividend_yield_12,P/VPA,score,tipo
HREC11,Títulos e Val. Mob.,"R$ 96,45",13.0,"1,45%","11,68%","1,04",4.3,fundo de papel
FIIB11,Híbrido,"R$ 425,00",586.0,"0,78%","8,74%","0,93",4.2,fundo de tijolo
GCRI11,Títulos e Val. Mob.,"R$ 97,94",950.0,"1,56%","14,82%","1,00",4.2,fundo de papel
CXAG11,Outros,"R$ 75,70",1062.0,"0,96%","0,00%","0,74",4.5,fundo de tijolo
RRCI11,Títulos e Val. Mob.,"R$ 89,93",1516.0,"1,45%","14,94%","0,92",4.2,fundo de papel
GALG11,Híbrido,"R$ 92,44",4292.0,"0,87%","9,98%","0,91",4.5,fundo de tijolo
MFII11,Híbrido,"R$ 95,15",4809.0,"1,16%","13,11%","0,93",4.2,fundo de desenvolvimento
CACR11,Híbrido,"R$ 104,50",4837.0,"1,32%","14,40%","1,01",4.2,fundo de papel
BCIA11,Títulos e Val. Mob.,"R$ 82,92",5063.0,"0,89%","9,42%","0,79",4.1,fundo de fundos
BTRA11,Outros,"R$ 83,99",5500.0,"0,85%","0,00%","0,81",4.5,fundo de tijolo
BTAL11,Outros,"R$ 94,62",7809.0,"0,84%","9,81%","0,91",4.4,fundo de tijolo
HGBS11,Shoppings,"R$ 173,24",7860.0,"0,81%","7,12%","0,80",4.5,fundo de tijolo
CXCO11,Lajes Corporativas,"R$ 75,49",7889.0,"0,98%","9,88%","0,78",4.6,fundo de tijolo
RECT11,Híbrido,"R$ 57,40",8331.0,"0,85%","8,99%","0,59",4.3,fundo de tijolo
HGFF11,Títulos e Val. Mob.,"R$ 71,21",8490.0,"0,87%","9,23%","0,80",4.2,fundo de fundos
BCRI11,Títulos e Val. Mob.,"R$ 109,63",8629.0,"1,34%","13,61%","1,02",4.2,fundo de papel
XPIN11,Outros,"R$ 73,20",9073.0,"0,80%","8,50%","0,67",4.1,fundo de tijolo
VCJR11,Títulos e Val. Mob.,"R$ 101,29",9494.0,"1,28%","15,74%","1,07",4.3,fundo de papel
