codigo,setor,preco,liquidez,dividend_yield,dividend_yield_12,P/VPA,score,tipo_desenvolvimento,tipo_fundos,tipo_papel,tipo_tijolo
MXRF11,Híbrido,9.68,623461.0,1.03,11.18,0.95,4.4,0,0,1,0
VGHF11,Títulos e Val. Mob.,10.02,387815.0,1.3,16.97,1.07,4.7,0,0,1,0
KNIP11,Títulos e Val. Mob.,101.19,176181.0,1.48,16.01,1.04,4.3,0,0,1,0
XPSF11,Outros,7.1,112249.0,0.99,10.7,0.82,4.4,0,1,0,0
VSLH11,Outros,9.14,99564.0,1.29,15.01,0.88,4.3,0,0,1,0
URPR11,Outros,112.0,99111.0,1.65,18.35,1.08,4.6,0,0,1,0
RECR11,Títulos e Val. Mob.,100.0,78913.0,1.69,14.76,1.05,4.6,0,0,1,0
IRDM11,Títulos e Val. Mob.,101.9,72372.0,1.28,12.95,1.05,4.6,0,0,1,0
CPTS11,Títulos e Val. Mob.,90.84,68768.0,1.19,12.95,0.97,4.5,0,0,1,0
KNCR11,Títulos e Val. Mob.,101.96,54797.0,1.03,9.28,1.01,4.1,0,0,1,0
HCTR11,Outros,113.55,50885.0,1.54,15.62,0.94,4.4,0,0,1,0
MGFF11,Títulos e Val. Mob.,58.8,39212.0,0.95,9.91,0.77,4.3,0,1,0,0
KNSC11,Títulos e Val. Mob.,94.08,39212.0,1.16,14.83,1.05,4.7,0,0,1,0
DEVA11,Títulos e Val. Mob.,99.51,38893.0,1.6,15.73,1.01,4.4,0,0,1,0
KNHY11,Títulos e Val. Mob.,104.0,38734.0,1.23,15.25,1.06,4.1,0,0,1,0
RZTR11,Híbrido,101.2,36974.0,1.24,13.61,1.03,4.4,0,0,0,1
BTLG11,Logística,100.0,33341.0,0.71,8.22,1.01,4.3,0,0,0,1
XPLG11,Logística,93.67,33165.0,0.75,7.92,0.82,4.6,0,0,0,1
CVBI11,Títulos e Val. Mob.,99.5,32570.0,1.48,13.51,0.99,4.1,0,0,1,0
VIUR11,Títulos e Val. Mob.,7.17,32201.0,1.0,10.72,0.75,4.4,0,0,0,1
BCFF11,Títulos e Val. Mob.,63.39,32102.0,0.85,8.78,0.81,4.3,0,1,0,0
HGRU11,Híbrido,118.69,31599.0,1.01,8.29,1.0,4.5,0,0,0,1
HGCR11,Títulos e Val. Mob.,105.48,29945.0,1.14,11.51,1.03,4.3,0,0,1,0
HGLG11,Logística,164.42,29445.0,2.01,9.69,1.1,4.6,0,0,0,1
XPML11,Shoppings,94.7,26947.0,0.7,7.63,0.93,4.5,0,0,0,1
PVBI11,Lajes Corporativas,91.8,26888.0,0.61,7.41,0.93,4.5,0,0,0,1
TGAR11,Outros,115.6,26536.0,1.36,12.57,0.92,4.3,1,0,0,0
HSML11,Shoppings,77.99,25884.0,0.83,8.49,0.84,4.3,0,0,0,1
RBRR11,Títulos e Val. Mob.,100.8,25417.0,1.19,12.07,1.04,4.1,0,0,1,0
