codigo,setor,preco,liquidez,dividend_yield,dividend_yield_12,P/VPA,score,tipo_desenvolvimento,tipo_fundos,tipo_papel,tipo_tijolo
MXRF11,Híbrido,9.68,623461.0,1.03,11.18,0.95,4.4,0,0,1,0
VGHF11,Títulos e Val. Mob.,10.02,387815.0,1.3,16.97,1.07,4.7,0,0,1,0
KNIP11,Títulos e Val. Mob.,101.19,176181.0,1.48,16.01,1.04,4.3,0,0,1,0
VSLH11,Outros,9.14,99564.0,1.29,15.01,0.88,4.3,0,0,1,0
URPR11,Outros,112.0,99111.0,1.65,18.35,1.08,4.6,0,0,1,0
RECR11,Títulos e Val. Mob.,100.0,78913.0,1.69,14.76,1.05,4.6,0,0,1,0
IRDM11,Títulos e Val. Mob.,101.9,72372.0,1.28,12.95,1.05,4.6,0,0,1,0
CPTS11,Títulos e Val. Mob.,90.84,68768.0,1.19,12.95,0.97,4.5,0,0,1,0
KNCR11,Títulos e Val. Mob.,101.96,54797.0,1.03,9.28,1.01,4.1,0,0,1,0
HCTR11,Outros,113.55,50885.0,1.54,15.62,0.94,4.4,0,0,1,0
KNSC11,Títulos e Val. Mob.,94.08,39212.0,1.16,14.83,1.05,4.7,0,0,1,0
DEVA11,Títulos e Val. Mob.,99.51,38893.0,1.6,15.73,1.01,4.4,0,0,1,0
KNHY11,Títulos e Val. Mob.,104.0,38734.0,1.23,15.25,1.06,4.1,0,0,1,0
CVBI11,Títulos e Val. Mob.,99.5,32570.0,1.48,13.51,0.99,4.1,0,0,1,0
HGCR11,Títulos e Val. Mob.,105.48,29945.0,1.14,11.51,1.03,4.3,0,0,1,0
RBRR11,Títulos e Val. Mob.,100.8,25417.0,1.19,12.07,1.04,4.1,0,0,1,0
VRTA11,Títulos e Val. Mob.,97.8,24262.0,1.24,13.51,1.02,4.3,0,0,1,0
RZAK11,Títulos e Val. Mob.,96.61,20283.0,1.84,14.86,1.03,4.2,0,0,1,0
VGIR11,Títulos e Val. Mob.,98.0,19680.0,1.31,11.17,1.02,4.2,0,0,1,0
RBHG11,Títulos e Val. Mob.,87.4,12210.0,1.67,14.91,0.91,4.2,0,0,1,0
AFHI11,Títulos e Val. Mob.,99.8,10027.0,1.37,14.4,1.03,4.5,0,0,1,0
VCJR11,Títulos e Val. Mob.,101.29,9494.0,1.28,15.74,1.07,4.3,0,0,1,0
BCRI11,Títulos e Val. Mob.,109.63,8629.0,1.34,13.61,1.02,4.2,0,0,1,0
