codigo,setor,preco,liquidez,dividend_yield,dividend_yield_12,P/VPA,score,tipo_desenvolvimento,tipo_fundos,tipo_papel,tipo_tijolo
RZTR11,Híbrido,101.2,36974.0,1.24,13.61,1.03,4.4,0,0,0,1
BTLG11,Logística,100.0,33341.0,0.71,8.22,1.01,4.3,0,0,0,1
XPLG11,Logística,93.67,33165.0,0.75,7.92,0.82,4.6,0,0,0,1
VIUR11,Títulos e Val. Mob.,7.17,32201.0,1.0,10.72,0.75,4.4,0,0,0,1
HGRU11,Híbrido,118.69,31599.0,1.01,8.29,1.0,4.5,0,0,0,1
HGLG11,Logística,164.42,29445.0,2.01,9.69,1.1,4.6,0,0,0,1
XPML11,Shoppings,94.7,26947.0,0.7,7.63,0.93,4.5,0,0,0,1
PVBI11,Lajes Corporativas,91.8,26888.0,0.61,7.41,0.93,4.5,0,0,0,1
HSML11,Shoppings,77.99,25884.0,0.83,8.49,0.84,4.3,0,0,0,1
VISC11,Shoppings,101.0,24853.0,0.69,7.71,0.88,4.5,0,0,0,1
BRCO11,Logística,98.54,23140.0,0.78,7.55,0.83,4.1,0,0,0,1
TRXF11,Outros,98.38,21382.0,1.07,9.67,1.01,4.1,0,0,0,1
VILG11,Logística,95.51,19907.0,0.74,7.97,0.84,4.5,0,0,0,1
RBRP11,Outros,57.3,19206.0,0.71,7.55,0.7,4.3,0,0,0,1
VINO11,Lajes Corporativas,44.13,17802.0,0.77,9.8,0.81,4.4,0,0,0,1
BBPO11,Lajes Corporativas,80.25,14848.0,1.11,11.54,0.84,4.2,0,0,0,1
ALZR11,Logística,116.5,14764.0,0.68,7.43,1.07,4.3,0,0,0,1
KNRI11,Híbrido,131.48,14025.0,0.64,7.02,0.84,4.5,0,0,0,1
MALL11,Shoppings,101.34,13955.0,0.71,8.1,0.94,4.2,0,0,0,1
GGRC11,Logística,109.2,13223.0,0.85,9.05,0.84,4.5,0,0,0,1
HGRE11,Lajes Corporativas,129.68,11317.0,0.6,8.09,0.8,4.4,0,0,0,1
XPIN11,Outros,73.2,9073.0,0.8,8.5,0.67,4.1,0,0,0,1
RECT11,Híbrido,57.4,8331.0,0.85,8.99,0.59,4.3,0,0,0,1
CXCO11,Lajes Corporativas,75.49,7889.0,0.98,9.88,0.78,4.6,0,0,0,1
HGBS11,Shoppings,173.24,7860.0,0.81,7.12,0.8,4.5,0,0,0,1
BTAL11,Outros,94.62,7809.0,0.84,9.81,0.91,4.4,0,0,0,1
